                                                                               Virginia Beach Business Listings February 2026
                     Owner Name                                   Trade Name                                              Address                               City    State    Zip    Zip+4    Telephone
3B DIGITAL MEDIA LLC                            3B DIGITAL MEDIA LLC                            3062 CAPE HENRY CT                                     VIRGINIA BEACH    VA     23451   1146    757-343-6054
4 SISTERS HOME CARE LLC                         4 SISTERS HOME CARE LLC                         4616 WESTGROVE CT STE 109                              VIRGINIA BEACH    VA     23455   5414    757-284-4930
4569 BONNEY RD LLC                              BONNEY'S GRAB & GO                              4569 BONNEY RD                                         VIRGINIA BEACH    VA     23462   3817    757-839-7504
6SIX7 HOLDINGS LLC                              PARADIGM PROFESSIONAL SERVICES                  5316 GRAND LAKE CRES                                   VIRGINIA BEACH    VA     23462   1833    757-639-0233
7 CITIES APPLIANCE LLC                          7 CITIES APPLIANCE LLC                          3793 GOVERNORS WAY                                     VIRGINIA BEACH    VA     23452   2854    757-981-5311
757 ENDODONTICS PLLC                            757 ENDODONTICS PLLC                            837 FIRST COLONIAL RD STE B                            VIRGINIA BEACH    VA     23451   6195    757-272-2568
A KIRBY CARE HOME LLC                           A KIRBY CARE HOME                               1208 MINION BRIEF                                      VIRGINIA BEACH    VA     23455   6711    948-202-8757
ADONAI CONSTRUCTION SERVICES LLC                ADONAI CONSTRUCTION SERVICES LLC                1919 AUTUMN MIST DR                                    WINSTON SALEM     NC     27103   6997    786-350-0537
AEN LLC                                         AEN LLC                                         911 PACIFIC AVE APT C                                  VIRGINIA BEACH    VA     23451   3556    757-472-9895
AG HEALTHCARE CONSULTING LLC                    AG HEALTHCARE CONSULTING LLC                    1008 ROEHAMPTON VALE                                   VIRGINIA BEACH    VA     23452   6158    443-253-9216
AGBE LLC                                        AGBE LLC                                        1917 BENECIA DR                                        VIRGINIA BEACH    VA     23456   1556    757-863-2733
AGENDA VA LLC                                   AGENDA VA                                       565 LAVENDER LN                                        VIRGINIA BEACH    VA     23462   2051    757-289-1096
AKAHAI SKIN BY RAE LLC                          AKAHAI SKIN BY RAE LLC                          3634 S PLAZA TRL STE 102                               VIRGINIA BEACH    VA     23452   3351    757-672-9335
ALANI NU LLC                                    ALANI NU LLC                                    2381 NW EXECUTIVE CENTER DR C/O GEORGE MCELROY ASSOC   BOCA RATON        FL     33431   8560    214-905-3700
ALEXANDER KIM ALLEN                             ALLENS HANDYMAN                                 2717 BLUEBILL DR                                       VIRGINIA BEACH    VA     23456   4526    757-319-0962
ALL IN THE DETAILS GROOMING, L.L.C.             ALL IN THE DETAILS GROOMING, L.L.C.             4260 EAGLE ROCK CT                                     VIRGINIA BEACH    VA     23456   5808    619-504-0876
ALL THINGS HOME RENOVATION & CONSTRUCTION LLC   ALL THINGS HOME RENOVATION & CONSTRUCTION LLC   612 HERON POINT CIR                                    VIRGINIA BEACH    VA     23452   2605    757-408-9847
ALLORA BODYWORKS THERAPUTIC MASSAGE LLC         ALLORA BODYWORKS THERAPUTIC MASSAGE LLC         2004 SANDBRIDGE RD STE 101                             VIRGINIA BEACH    VA     23456   0000    757-672-1819
ALZARQA LLC                                     SMOKE NATION                                    1347 LYNNHAVEN PKWY                                    VIRGINIA BEACH    VA     23453   2705    757-515-3631
AMBLESIDE OF HAMPTON ROADS CORP                 AMBLESIDE OF HAMPTON ROADS CORP                 1201 ROSEMONT RD                                       VIRGINIA BEACH    VA     23453   2119    757-932-8189
ANDERTON ENTERPRISES INC                        FIRST LANDING AUTOCARE INDEPENDENCE             1613 INDEPENDENCE BLVD STE 105                         VIRGINIA BEACH    VA     23455   4084    757-635-1628
ANDY DWYER INCORPORATED                         ANDY DWYER INCORPORATED                         205 W OAK ST                                           LAKE WACCAMAW     NC     28450   2317    910-617-4583
ANITA ALLEN LLC                                 ANITA ALLEN LLC                                 4216 VIRGINIA BEACH BLVD #170                          VIRGINIA BEACH    VA     23452   6135    757-718-1275
ANIYAH DAVIS ESTHETICS LLC                      ANIYAH DAVIS ESTHETICS LLC                      4765 ALICIA DR APT 523                                 VIRGINIA BEACH    VA     23462   3454    315-491-5519
ANYAMRIYA HAIR STUDIO LLC                       ANYAMRIYA HAIR STUDIO LLC                       523 HILLTOP PLZ STE 36                                 VIRGINIA BEACH    VA     23454   4501    757-515-7793
ARGO TURBOSERVE CORPORATION                     ARGO TURBOSERVE CORPORATION                     200 GOLDEN OAK CT STE 205                              VIRGINIA BEACH    VA     23452   6756    757-460-4475
AROUND MY FINGERS LLC                           AROUND MY FINGERS LLC                           2208 VOLUNTEER TRL                                     VIRGINIA BEACH    VA     23456   6060    757-667-9787
ARROW CONSTRUCTING LLC                          ARROW CONSTRUCTING LLC                          233 ROCKY MOUNT RD                                     VIRGINIA BEACH    VA     23452   3315    757-770-4554
ATLANTIC TACKLEBOX LLC                          ATLANTIC BAIT & TACKLE                          2955 VIRGINIA BEACH BLVD STE 107                       VIRGINIA BEACH    VA     23452   6925    757-227-6333
AUTOZONE STORES LLC                             AUTOZONE #5829                                  4920 VIRGINIA BEACH BLVD                               VIRGINIA BEACH    VA     23462   2615    901-495-8813
BACK BAY JIU JITSU LLC                          BACK BAY JIU JITSU LLC                          1964 FISHER ARC                                        VIRGINIA BEACH    VA     23456   6999    757-201-4141
BACK BAY MACHINE LLC                            BACK BAY MACHINE LLC                            1492 BACK BAY LANDING RD                               VIRGINIA BEACH    VA     23457   1357    970-520-1592
BACON & BEAUTY LLC                              BACON & BEAUTY LLC                              520 OXGATE LN                                          VIRGINIA BEACH    VA     23462   2013    774-238-6562
BAI LIANHUA SPA LLC                             BAI LIANHUA SPA LLC                             1337 OCEANA BLVD STE 120                               VIRGINIA BEACH    VA     23454   5508    757-379-6688
BAMYAM LLC                                      BAMYAM LLC                                      2113 ATLANTIC AVE APT 303                              VIRGINIA BEACH    VA     23451   3364    757-289-8533
BAREFACED BEAUTY BROW STUDIO LLC                BAREFACED BEAUTY BROW STUDIO LLC                3574 HOLLAND RD STE 101                                VIRGINIA BEACH    VA     23452   4063    618-671-3954
BEACH BUM COFFEE LLC                            BEACH BUM COFFEE                                4708 TULIP DR STE 100                                  VIRGINIA BEACH    VA     23455   4024    253-318-8109
BEACH FIX LLC                                   BEACH FIX LLC                                   1227 BELLS RD                                          VIRGINIA BEACH    VA     23454   4928    757-450-5207
BEACH FOR U LLC                                 BEACH FOR U LLC                                 303 ATLANTIC AVE APT 404                               VIRGINIA BEACH    VA     23451   0000    757-609-1668
BEDFORD MARCUS LEE THOMAS                       DIGITAL WEALTH DROPSHIPPING                     2420 MELSTONE CT                                       VIRGINIA BEACH    VA     23456   5276    757-407-6001
BEE & BLOSSOM LLC                               BEE & BLOSSOM LLC                               4400 SULLY TRCE                                        VIRGINIA BEACH    VA     23456   5449    336-613-7292
BENNY'S BEVERAGES LLC                           BENNY'S BEVERAGES                               829 WINSTON SALEM AVE                                  VIRGINIA BEACH    VA     23451   4754    610-416-9598
BERGARA, MORGAN A                               EARTHCANDY GEMS                                 3517 WAYNE ST                                          VIRGINIA BEACH    VA     23452   4331    386-290-7371
BHB CONSULTING LLC                              BHB CONSULTING LLC                              221 80TH ST #A                                         VIRGINIA BEACH    VA     23451   1930    757-285-9324
BLACKLETTER PRINT CO LLC                        SPECTRUM PRINTING & MARKETING                   4716 VIRGINIA BEACH BLVD                               VIRGINIA BEACH    VA     23462   6709    757-473-9977
BLACKMON, TYLER J                               TYLER BLACKMON                                  4100 DUNCANNON LN                                      VIRGINIA BEACH    VA     23452   1818    757-395-9502
BLUE PINE BUILDING PARTNERS LLC                 BLUE PINE BUILDING PARTNERS LLC                 661 CORAL KY                                           VIRGINIA BEACH    VA     23452   4442    757-328-3602
BOTETOURT LLC                                   BOTETOURT LLC                                   904 SALISBURY GRN                                      VIRGINIA BEACH    VA     23452   6123    757-869-4369
BRAUNSTEIN PAIGE CHRISTINA                      PAIGE BRAUNSTEIN                                2115 DUNBARTON DR                                      VIRGINIA BEACH    VA     23454   3603    757-980-5910
BRESS SUMMER PLACE, LLC                         BRESS SUMMER PLACE                              107 69TH ST                                            VIRGINIA BEACH    VA     23451   2069    757-572-0246
BROPHY SUZANNE CHERRY                           JUST POPPED BY                                  1316 LAKESIDE RD                                       VIRGINIA BEACH    VA     23455   4108    757-646-6620
BROWN, DEBORAH B                                PHOTOGRAPHY BY DEBBIE BROWN                     4001 VIRGINIA BEACH BLVD                               VIRGINIA BEACH    VA     23452   1759    757-404-2085
BROWN, SAMEERAH                                 GYPSY SOUL BLOOMIN BABIES                       873 LITTLE NECK RD                                     VIRGINIA BEACH    VA     23452   5904    757-319-7847
